model,prior_method,paper_id,retain_pct,retain_pct_display,num_units,gr_coverage,avg_dec_coverage,oracle_retention,selected_count
google/embeddinggemma-300m,kmeans,1097_slides.pdf,0.03,3%,4,0.6225960440363619,0.664458450099547,0.16666666666666666,4
google/embeddinggemma-300m,kmeans,1097_slides.pdf,0.05,5%,7,0.5832204892298082,0.6259872976421605,0.16666666666666666,4
google/embeddinggemma-300m,kmeans,1097_slides.pdf,0.1,10%,15,0.6096818759282786,0.6435034452344255,0.3333333333333333,5
google/embeddinggemma-300m,kmeans,1097_slides.pdf,0.2,20%,31,0.5780758351883472,0.6197146554237232,0.5,5
google/embeddinggemma-300m,kmeans,1097_slides.pdf,0.5,50%,78,0.5838531075957416,0.6417307397426419,0.6666666666666666,5
google/embeddinggemma-300m,kmeans,1118_slides.pdf,1.0,100%,95,0.6205224712720321,0.6316758632568164,1.0,6
google/embeddinggemma-300m,kmeans,1118_slides.pdf,0.03,3%,2,0.4752827253811094,0.44997196768408115,0.16666666666666666,2
google/embeddinggemma-300m,kmeans,1118_slides.pdf,0.05,5%,4,0.4752827253811094,0.4528648219997158,0.16666666666666666,4
google/embeddinggemma-300m,kmeans,1118_slides.pdf,0.1,10%,9,0.5999996171518522,0.5497709757962214,0.3333333333333333,6
google/embeddinggemma-300m,kmeans,1118_slides.pdf,0.2,20%,19,0.6607704196845203,0.6277781599131053,0.6666666666666666,6
google/embeddinggemma-300m,kmeans,1118_slides.pdf,0.5,50%,47,0.7668568837054086,0.6678594662132777,0.6666666666666666,6
google/embeddinggemma-300m,kmeans,1119_slides.pdf,1.0,100%,84,0.6529413006051923,0.746207181573479,1.0,6
google/embeddinggemma-300m,kmeans,1119_slides.pdf,0.03,3%,2,0.563234826355889,0.6163906690107662,0.16666666666666666,2
google/embeddinggemma-300m,kmeans,1119_slides.pdf,0.05,5%,4,0.563234826355889,0.6163906690107662,0.16666666666666666,4
google/embeddinggemma-300m,kmeans,1119_slides.pdf,0.1,10%,8,0.563234826355889,0.6163907215727633,0.16666666666666666,6
google/embeddinggemma-300m,kmeans,1119_slides.pdf,0.2,20%,16,0.6633836208633074,0.6911332892989147,0.5,6
google/embeddinggemma-300m,kmeans,1119_slides.pdf,0.5,50%,42,0.7052089971948513,0.7706512795589037,0.6666666666666666,7
google/embeddinggemma-300m,kmeans,1152_slides.pdf,1.0,100%,233,0.5634423854575876,0.615258203404069,1.0,4
google/embeddinggemma-300m,kmeans,1152_slides.pdf,0.03,3%,6,0.46438460843020235,0.5147403330361067,0.25,5
google/embeddinggemma-300m,kmeans,1152_slides.pdf,0.05,5%,11,0.46438460843020235,0.5150766169067995,0.25,6
google/embeddinggemma-300m,kmeans,1152_slides.pdf,0.1,10%,23,0.5833490584707834,0.6088720298782588,0.25,6
google/embeddinggemma-300m,kmeans,1152_slides.pdf,0.2,20%,46,0.5767890471837375,0.6025297818630829,0.25,8
google/embeddinggemma-300m,kmeans,1152_slides.pdf,0.5,50%,116,0.5634423854575876,0.615258203404069,1.0,4
google/embeddinggemma-300m,kmeans,1150_slides.pdf,1.0,100%,140,0.5442849276533112,0.6724133311431545,1.0,5
google/embeddinggemma-300m,kmeans,1150_slides.pdf,0.03,3%,4,0.32850262093207006,0.3905642654946299,0.2,4
google/embeddinggemma-300m,kmeans,1150_slides.pdf,0.05,5%,7,0.341187136121792,0.4046487566438645,0.2,5
google/embeddinggemma-300m,kmeans,1150_slides.pdf,0.1,10%,14,0.37660107526390213,0.4500803837478151,0.2,6
google/embeddinggemma-300m,kmeans,1150_slides.pdf,0.2,20%,28,0.6120153154254983,0.6186545666222844,0.4,5
google/embeddinggemma-300m,kmeans,1150_slides.pdf,0.5,50%,70,0.5215115771536913,0.5846749965735295,0.8,5
google/embeddinggemma-300m,kmeans,1155_slides.pdf,1.0,100%,142,0.6128263408842362,0.616206585591276,1.0,5
google/embeddinggemma-300m,kmeans,1155_slides.pdf,0.03,3%,4,0.5097025644805164,0.4388641245176089,0.2,4
google/embeddinggemma-300m,kmeans,1155_slides.pdf,0.05,5%,7,0.5600748100117465,0.456986712358861,0.2,7
google/embeddinggemma-300m,kmeans,1155_slides.pdf,0.1,10%,14,0.6022102106117867,0.5412533938900586,0.2,6
google/embeddinggemma-300m,kmeans,1155_slides.pdf,0.2,20%,28,0.629927816367229,0.637261687309062,0.4,5
google/embeddinggemma-300m,kmeans,1155_slides.pdf,0.5,50%,71,0.6128263408842362,0.616206585591276,1.0,5
google/embeddinggemma-300m,kmeans,1095_slides.pdf,1.0,100%,201,0.7423729252377231,0.7120451652465885,1.0,6
google/embeddinggemma-300m,kmeans,1095_slides.pdf,0.03,3%,6,0.5034269255102313,0.573884884459012,0.16666666666666666,4
google/embeddinggemma-300m,kmeans,1095_slides.pdf,0.05,5%,10,0.5208779491693686,0.5891231491262567,0.16666666666666666,4
google/embeddinggemma-300m,kmeans,1095_slides.pdf,0.1,10%,20,0.5185358716440333,0.63816047319486,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1095_slides.pdf,0.2,20%,40,0.531932428279531,0.6636575192193755,0.3333333333333333,5
google/embeddinggemma-300m,kmeans,1095_slides.pdf,0.5,50%,100,0.634080916694731,0.6639556679398037,0.6666666666666666,5
google/embeddinggemma-300m,kmeans,1161_slides.pdf,1.0,100%,191,0.5551038692886392,0.5924843766122604,1.0,6
google/embeddinggemma-300m,kmeans,1161_slides.pdf,0.03,3%,5,0.478856527519565,0.5411367191143326,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1161_slides.pdf,0.05,5%,9,0.478856527519565,0.5432748970611692,0.16666666666666666,6
google/embeddinggemma-300m,kmeans,1161_slides.pdf,0.1,10%,19,0.4936026694870755,0.6042725810421714,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1161_slides.pdf,0.2,20%,38,0.5425072344746058,0.6046386360885881,0.3333333333333333,7
google/embeddinggemma-300m,kmeans,1161_slides.pdf,0.5,50%,95,0.5551038692886392,0.5971722668062817,0.8333333333333334,6
google/embeddinggemma-300m,kmeans,1174_slides.pdf,1.0,100%,88,0.6800095184146463,0.7420364313086111,1.0,5
google/embeddinggemma-300m,kmeans,1174_slides.pdf,0.03,3%,2,0.41889480293124415,0.4157358951257108,0.2,2
google/embeddinggemma-300m,kmeans,1174_slides.pdf,0.05,5%,4,0.43900811769521303,0.4502331108834471,0.2,4
google/embeddinggemma-300m,kmeans,1174_slides.pdf,0.1,10%,8,0.5991523728908339,0.5893662764804547,0.2,5
google/embeddinggemma-300m,kmeans,1174_slides.pdf,0.2,20%,17,0.7301410587249967,0.6994463746390807,0.4,6
google/embeddinggemma-300m,kmeans,1174_slides.pdf,0.5,50%,44,0.7313908492233502,0.6913573834037994,0.6,8
google/embeddinggemma-300m,kmeans,1193_slides.pdf,1.0,100%,195,0.5865697121602886,0.5956992462452847,1.0,5
google/embeddinggemma-300m,kmeans,1193_slides.pdf,0.03,3%,5,0.5829593515189406,0.6325023581731138,0.4,5
google/embeddinggemma-300m,kmeans,1193_slides.pdf,0.05,5%,9,0.5713003054586191,0.6095244756452083,0.4,6
google/embeddinggemma-300m,kmeans,1193_slides.pdf,0.1,10%,19,0.5665200695546263,0.5780724706376764,0.6,5
google/embeddinggemma-300m,kmeans,1193_slides.pdf,0.2,20%,39,0.5521887598464648,0.5723457400023471,0.6,5
google/embeddinggemma-300m,kmeans,1193_slides.pdf,0.5,50%,97,0.5804477349988476,0.589460225164426,0.8,5
google/embeddinggemma-300m,kmeans,1175_slides.pdf,1.0,100%,97,0.5585790533383418,0.6035479682404925,1.0,5
google/embeddinggemma-300m,kmeans,1175_slides.pdf,0.03,3%,2,0.29155422910569717,0.4588002062030314,0.2,2
google/embeddinggemma-300m,kmeans,1175_slides.pdf,0.05,5%,4,0.3878318020245404,0.5239346403950461,0.2,4
google/embeddinggemma-300m,kmeans,1175_slides.pdf,0.1,10%,9,0.5833459147451328,0.6316563277773298,0.4,6
google/embeddinggemma-300m,kmeans,1175_slides.pdf,0.2,20%,19,0.6080578205451838,0.6587419882098423,0.6,5
google/embeddinggemma-300m,kmeans,1175_slides.pdf,0.5,50%,48,0.5585790533383418,0.6035479682404925,1.0,5
google/embeddinggemma-300m,kmeans,1195_slides.pdf,1.0,100%,205,0.6829046679472669,0.6572606739257927,1.0,7
google/embeddinggemma-300m,kmeans,1195_slides.pdf,0.03,3%,6,0.5478917417370792,0.5371807450387582,0.14285714285714285,5
google/embeddinggemma-300m,kmeans,1195_slides.pdf,0.05,5%,10,0.5576458746665456,0.580248814798631,0.14285714285714285,5
google/embeddinggemma-300m,kmeans,1195_slides.pdf,0.1,10%,20,0.626026002856051,0.6374068782359615,0.42857142857142855,6
google/embeddinggemma-300m,kmeans,1195_slides.pdf,0.2,20%,41,0.5702918736652082,0.6126816989699854,0.7142857142857143,6
google/embeddinggemma-300m,kmeans,1195_slides.pdf,0.5,50%,102,0.6714231845871722,0.6569812140489991,0.8571428571428571,6
google/embeddinggemma-300m,kmeans,1167_slides.pdf,1.0,100%,239,0.6452950149626017,0.6171633616033478,1.0,6
google/embeddinggemma-300m,kmeans,1167_slides.pdf,0.03,3%,7,0.3971589242336362,0.5508996152677806,0.16666666666666666,6
google/embeddinggemma-300m,kmeans,1167_slides.pdf,0.05,5%,11,0.4000512255668719,0.5425917460219971,0.16666666666666666,7
google/embeddinggemma-300m,kmeans,1167_slides.pdf,0.1,10%,23,0.444612709900471,0.5624559815927106,0.3333333333333333,6
google/embeddinggemma-300m,kmeans,1167_slides.pdf,0.2,20%,47,0.6444912233868677,0.6119577215050206,0.5,5
google/embeddinggemma-300m,kmeans,1167_slides.pdf,0.5,50%,119,0.5871437423851399,0.5662356396931838,0.8333333333333334,5
google/embeddinggemma-300m,kmeans,1121_slides.pdf,1.0,100%,185,0.4935426097257068,0.5537786108840855,1.0,6
google/embeddinggemma-300m,kmeans,1121_slides.pdf,0.03,3%,5,0.4635623470007663,0.4859953030616356,0.3333333333333333,5
google/embeddinggemma-300m,kmeans,1121_slides.pdf,0.05,5%,9,0.40363140842780015,0.4470230722670321,0.5,5
google/embeddinggemma-300m,kmeans,1121_slides.pdf,0.1,10%,18,0.47106463264139564,0.5235106999111868,0.5,5
google/embeddinggemma-300m,kmeans,1121_slides.pdf,0.2,20%,37,0.441364792595449,0.47333185249569004,0.6666666666666666,6
google/embeddinggemma-300m,kmeans,1121_slides.pdf,0.5,50%,92,0.6063924514304766,0.6012609957735245,0.6666666666666666,6
google/embeddinggemma-300m,kmeans,1202_slides.pdf,1.0,100%,93,0.7008510532937469,0.8054804538131357,1.0,6
google/embeddinggemma-300m,kmeans,1202_slides.pdf,0.03,3%,2,0.4385401792710746,0.48649576874461375,0.16666666666666666,2
google/embeddinggemma-300m,kmeans,1202_slides.pdf,0.05,5%,4,0.5232823097693594,0.5126692278978334,0.16666666666666666,4
google/embeddinggemma-300m,kmeans,1202_slides.pdf,0.1,10%,9,0.6331477761984781,0.5881430989281781,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1202_slides.pdf,0.2,20%,18,0.6595505897704912,0.6542823773729172,0.3333333333333333,5
google/embeddinggemma-300m,kmeans,1202_slides.pdf,0.5,50%,46,0.7899777244371115,0.7384758505320116,0.5,6
google/embeddinggemma-300m,kmeans,1178_slides.pdf,1.0,100%,132,0.532765889095852,0.5715353343383576,1.0,6
google/embeddinggemma-300m,kmeans,1178_slides.pdf,0.03,3%,3,0.3362331279965371,0.47288165761089807,0.16666666666666666,3
google/embeddinggemma-300m,kmeans,1178_slides.pdf,0.05,5%,6,0.38812770358072884,0.5270040550923123,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1178_slides.pdf,0.1,10%,13,0.4469414240976777,0.5176271165095772,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1178_slides.pdf,0.2,20%,26,0.5004476774352082,0.6045675583533934,0.16666666666666666,6
google/embeddinggemma-300m,kmeans,1178_slides.pdf,0.5,50%,66,0.49300742104157463,0.562801868837209,0.8333333333333334,6
google/embeddinggemma-300m,kmeans,1225_slides.pdf,1.0,100%,125,0.6941733907011806,0.581905255587302,1.0,8
google/embeddinggemma-300m,kmeans,1225_slides.pdf,0.03,3%,3,0.6090803443781193,0.43990124505760414,0.125,3
google/embeddinggemma-300m,kmeans,1225_slides.pdf,0.05,5%,6,0.6090803443781193,0.44628502718055546,0.125,4
google/embeddinggemma-300m,kmeans,1225_slides.pdf,0.1,10%,12,0.6194131556287568,0.4447022397905307,0.125,5
google/embeddinggemma-300m,kmeans,1225_slides.pdf,0.2,20%,25,0.6172784448877249,0.5334615774793597,0.25,5
google/embeddinggemma-300m,kmeans,1225_slides.pdf,0.5,50%,62,0.6941747196949832,0.7028112101469374,0.625,7
google/embeddinggemma-300m,kmeans,1228_slides.pdf,1.0,100%,143,0.7358070113339227,0.7237848004061275,1.0,7
google/embeddinggemma-300m,kmeans,1228_slides.pdf,0.03,3%,4,0.2841322458147992,0.29928996295216287,0.14285714285714285,4
google/embeddinggemma-300m,kmeans,1228_slides.pdf,0.05,5%,7,0.2853838662170263,0.29885154211731174,0.2857142857142857,6
google/embeddinggemma-300m,kmeans,1228_slides.pdf,0.1,10%,14,0.32331667689106697,0.3574636453322468,0.2857142857142857,8
google/embeddinggemma-300m,kmeans,1228_slides.pdf,0.2,20%,28,0.532397985365501,0.5411469398773661,0.7142857142857143,6
google/embeddinggemma-300m,kmeans,1228_slides.pdf,0.5,50%,71,0.5919163869535097,0.6212166461954541,0.8571428571428571,6
google/embeddinggemma-300m,kmeans,1200_slides.pdf,1.0,100%,96,0.45928601388795254,0.5757046506439307,1.0,4
