budget,model,prior_method,strategy,objective,solver,config,avg_decision_coverage,avg_density_phi,decision_D1_coverage,decision_D2_coverage,decision_D3_coverage,decision_D4_coverage,decision_D5_coverage,global_gr_coverage,redundancy_score,semantic_volume
250,all-mpnet-base-v2,centroid,prior,graphcut,topk,prior/graphcut/topk,0.24239120785731305,0.10663760107291757,0.2452580157789747,0.24185503584900028,0.2378390802534912,0.24551054125336222,0.15669383403830944,0.22450514003112101,0.31740208407139126,-2.492407637319613
250,all-mpnet-base-v2,centroid,prior,fl,topk,prior/fl/topk,0.24239120785731305,0.10663760107291757,0.2452580157789747,0.24185503584900028,0.2378390802534912,0.24551054125336222,0.15669383403830944,0.22450514003112101,0.31740208407139126,-2.492407637319613
250,BAAI/bge-m3,coreset,prior,mmr,greedy,prior/mmr/greedy,0.6630849873124566,0.06356469294021153,0.6567171988133641,0.6636277247891039,0.651827642895407,0.7023972116414277,0.6587252865869448,0.634606561089396,0.23127467578874444,-0.10156911224106392
250,BAAI/bge-m3,coreset,prior,graphcut,greedy,prior/graphcut/greedy,0.6633439449470429,0.06355687107820555,0.6576910963378669,0.6626808506209599,0.6530926129243653,0.7002049457389875,0.6587252865869448,0.6355913157983141,0.23105102285461607,-0.10141847640255532
250,BAAI/bge-m3,coreset,prior,fl,greedy,prior/fl/greedy,0.8032482099070842,0.046892543929576314,0.8034404298124058,0.8008449979909886,0.7968390177859859,0.785992833514088,0.6982294002287455,0.7882967672968288,0.40165800573128574,-0.30547444290440373
250,BAAI/bge-m3,coreset,prior,mmr,cost_norm,prior/mmr/cost_norm,0.702247792235124,0.05325000157650068,0.6960243462159523,0.7078295509123276,0.6954344385828939,0.6963036336868353,0.7384788424021068,0.6810215856627961,0.33556283159919503,-0.126841173480915
250,BAAI/bge-m3,coreset,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.7013575990618863,0.05324805275765511,0.6950626966343961,0.7070108141474083,0.6954344385828939,0.6963036336868353,0.7384788424021068,0.6805920254943283,0.3354859039328008,-0.12688545214082553
250,BAAI/bge-m3,coreset,prior,fl,cost_norm,prior/fl/cost_norm,0.8084011638360178,0.04490866121080405,0.8071454684482725,0.8075164537568482,0.8027897834565001,0.780915423673576,0.8246936419843621,0.7969870120420163,0.4985005558942849,-0.7855755444967522
250,BAAI/bge-m3,coreset,prior,dpp,dpp,prior/dpp/dpp,0.6575123000819332,0.06859712524093547,0.646578769947685,0.6634906977609581,0.6518723793144751,0.6877098287980116,0.7384788424021068,0.6271424557756915,0.2924791518247353,-0.23354837641064388
250,BAAI/bge-m3,coreset,prior,mmr,topk,prior/mmr/topk,0.6494386033000422,0.06948692481613385,0.6418561187161337,0.6537408217495758,0.6375973273281811,0.6861668638842529,0.7384788424021068,0.6174048286173601,0.36335365966243566,-1.224162394866354
